"Datatime","Channel 1:"
29/06/2013 12:00,1.922
29/06/2013 12:02,1.913
29/06/2013 12:04,1.913
29/06/2013 12:06,1.914
29/06/2013 12:08,1.913
29/06/2013 12:10,1.905
29/06/2013 12:12,1.913
29/06/2013 12:14,1.912
29/06/2013 12:16,1.912
29/06/2013 12:18,1.912
29/06/2013 12:20,1.912
29/06/2013 12:22,1.912
29/06/2013 12:24,1.912
29/06/2013 12:26,1.911
29/06/2013 12:28,1.904
29/06/2013 12:30,1.904
29/06/2013 12:32,1.905
29/06/2013 12:34,1.898
29/06/2013 12:36,1.899
29/06/2013 12:38,1.899
29/06/2013 12:40,1.892
29/06/2013 12:42,1.899
29/06/2013 12:44,1.898
29/06/2013 12:46,1.887
29/06/2013 12:48,1.886
29/06/2013 12:50,1.885
29/06/2013 12:52,1.885
29/06/2013 12:54,1.878
29/06/2013 12:56,1.864
29/06/2013 12:58,1.874
29/06/2013 13:00,1.875
29/06/2013 13:02,1.882
29/06/2013 13:04,1.874
29/06/2013 13:06,1.874
29/06/2013 13:08,1.850
29/06/2013 13:10,1.873
29/06/2013 13:12,1.873
29/06/2013 13:14,1.872
29/06/2013 13:16,1.866
29/06/2013 13:18,1.867
29/06/2013 13:20,1.868
29/06/2013 13:22,1.860
29/06/2013 13:24,1.866
29/06/2013 13:26,1.857
29/06/2013 13:28,1.869
29/06/2013 13:30,1.863
29/06/2013 13:32,1.852
29/06/2013 13:34,1.867
29/06/2013 13:36,1.867
29/06/2013 13:38,1.840
29/06/2013 13:40,1.840
29/06/2013 13:42,1.861
29/06/2013 13:44,1.850
29/06/2013 13:46,1.850
29/06/2013 13:48,1.851
29/06/2013 13:50,1.851
29/06/2013 13:52,1.851
29/06/2013 13:54,1.850
29/06/2013 13:56,1.838
29/06/2013 13:58,1.839
29/06/2013 14:00,1.849
29/06/2013 14:02,1.849
29/06/2013 14:04,1.848
29/06/2013 14:06,1.849
29/06/2013 14:08,1.835
29/06/2013 14:10,1.835
29/06/2013 14:12,1.847
29/06/2013 14:14,1.835
29/06/2013 14:16,1.836
29/06/2013 14:18,1.845
29/06/2013 14:20,1.836
29/06/2013 14:22,1.829
29/06/2013 14:24,1.829
29/06/2013 14:26,1.835
29/06/2013 14:28,1.835
29/06/2013 14:30,1.834
29/06/2013 14:32,1.833
29/06/2013 14:34,1.833
29/06/2013 14:36,1.834
29/06/2013 14:38,1.833
29/06/2013 14:40,1.832
29/06/2013 14:42,1.826
29/06/2013 14:44,1.817
29/06/2013 14:46,1.829
29/06/2013 14:48,1.829
29/06/2013 14:50,1.829
29/06/2013 14:52,1.830
29/06/2013 14:54,1.815
29/06/2013 14:56,1.822
29/06/2013 14:58,1.822
29/06/2013 15:00,1.814
29/06/2013 15:02,1.824
29/06/2013 15:04,1.824
29/06/2013 15:06,1.817
29/06/2013 15:08,1.818
29/06/2013 15:10,1.824
29/06/2013 15:12,1.825
29/06/2013 15:14,1.825
29/06/2013 15:16,1.825
29/06/2013 15:18,1.824
29/06/2013 15:20,1.824
29/06/2013 15:22,1.823
29/06/2013 15:24,1.800
29/06/2013 15:26,1.822
29/06/2013 15:28,1.823
29/06/2013 15:30,1.822
29/06/2013 15:32,1.821
29/06/2013 15:34,1.808
29/06/2013 15:36,1.820
29/06/2013 15:38,1.813
29/06/2013 15:40,1.812
29/06/2013 15:42,1.813
29/06/2013 15:44,1.824
29/06/2013 15:46,1.812
29/06/2013 15:48,1.819
29/06/2013 15:50,1.818
29/06/2013 15:52,1.808
29/06/2013 15:54,1.819
29/06/2013 15:56,1.797
